Red,#ff0000,,,,,
Blue,#0000ff,,,,,
Green,#009900,,,,,
Orange,#ff9900,,,,,
Yellow,#ffff00,,,,,
Pink,#ffcccc,,,,,
Purple,#990099,,,,,
Violet,#9966ff,,,,,
Turquoise,#00cccc,,,,,
Gold,#ffcc00,,,,,
Lime,#00ff00,,,,,
Aqua,#00ffff,,,,,
Navy,#000099,,,,,
Coral,#ff9966,,,,,
Teal,#009999,,,,,
Brown,#a8813d,,,,,
White,#ffffff,,,,,
Black,#000000,,,,,
Grey,#999999,,,,,
Baby Blue,#ccffff,,,,,
Light Grey,#cccccc,,,,,
Light Green,#99ff99,,,,,
Rose Gold,#ffcc99,,,,,
Forest Green,#336633,,,,,
Beige,#ffffcc,,,,,
Hot Pink,#ff66cc,,,,,
Pale Yellow,#ffff99,,,,,
Maroon,#990033,,,,,
Red-Orange,#cc3300,,,,,
Light Grey,#cccccc,,,,,
Slate,#333333,,,,,
Red\Blue,#ff0000,#0000ff,,,,
Red\Green,#ff0000,#009900,,,,
Red\Orange,#ff0000,#ff9900,,,,
Red\Yellow,#ff0000,#ffff00,,,,
Red\Pink,#ff0000,#ffcccc,,,,
Red\Purple,#ff0000,#990099,,,,
Red\Violet,#ff0000,#9966ff,,,,
Red\Turquoise,#ff0000,#00cccc,,,,
Red\Gold,#ff0000,#ffcc00,,,,
Red\Lime,#ff0000,#00ff00,,,,
Red\Aqua,#ff0000,#00ffff,,,,
Red\Navy,#ff0000,#000099,,,,
Red\Coral,#ff0000,#ff9966,,,,
Red\Teal,#ff0000,#009999,,,,
Red\Brown,#ff0000,#a8813d,,,,
Red\White,#ff0000,#ffffff,,,,
Red\Black,#ff0000,#000000,,,,
Red\Grey,#ff0000,#999999,,,,
Red\Baby Blue,#ff0000,#ccffff,,,,
Red\Light Grey,#ff0000,#cccccc,,,,
Red\Light Green,#ff0000,#99ff99,,,,
Red\Rose Gold,#ff0000,#ffcc99,,,,
Red\Forest Green,#ff0000,#336633,,,,
Red\Beige,#ff0000,#ffffcc,,,,
Red\Hot Pink,#ff0000,#ff66cc,,,,
Red\Pale Yellow,#ff0000,#ffff99,,,,
Red\Maroon,#ff0000,#990033,,,,
Red\Red-Orange,#ff0000,#cc3300,,,,
